"Related Products","Related Products"
"Featured Products","Featured Products"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Cart","Add to Cart"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Bạn đã thêm %1 vào <a href=""%2"">giỏ hàng</a>."
"Your email address","Your email address"
&rarr;,&rarr;
